iter	Passed	Remaining
679	1008	474
680	1010	473
681	1011	471
682	1012	470
683	1014	468
684	1015	467
685	1017	465
686	1018	464
687	1019	462
688	1021	460
689	1022	459
690	1023	457
691	1025	456
692	1026	454
693	1027	453
694	1028	451
695	1030	449
696	1031	448
697	1032	446
698	1034	445
699	1035	443
700	1036	442
701	1037	440
702	1039	438
703	1040	437
704	1041	435
705	1042	434
706	1043	432
707	1045	431
708	1046	429
709	1047	427
710	1048	426
711	1050	424
712	1051	423
713	1052	421
714	1053	420
715	1055	418
716	1056	416
717	1057	415
718	1058	413
719	1059	412
720	1061	410
721	1062	409
722	1063	407
723	1064	405
724	1066	404
725	1067	402
726	1068	401
727	1069	399
728	1071	398
729	1072	396
730	1073	395
731	1074	393
732	1075	391
733	1077	390
734	1078	388
735	1079	387
736	1081	385
737	1082	384
738	1083	382
739	1085	381
740	1086	379
741	1087	378
742	1089	376
743	1090	375
744	1091	373
745	1092	372
746	1094	370
747	1095	369
748	1096	367
749	1097	365
750	1099	364
751	1100	362
752	1101	361
753	1102	359
754	1104	358
755	1105	356
756	1106	355
757	1108	353
758	1109	352
759	1110	350
760	1112	349
761	1113	347
762	1114	346
763	1115	344
764	1117	343
765	1118	341
766	1119	340
767	1120	338
768	1121	337
769	1123	335
770	1124	333
771	1125	332
772	1126	330
773	1128	329
774	1129	327
775	1130	326
776	1132	324
777	1133	323
778	1134	321
779	1135	320
780	1136	318
781	1138	317
782	1139	315
783	1140	314
784	1141	312
785	1143	311
786	1144	309
787	1145	308
788	1147	306
789	1148	305
790	1149	303
791	1150	302
792	1152	300
793	1153	299
794	1154	297
795	1155	296
796	1157	294
797	1158	293
798	1159	291
799	1160	290
800	1162	288
801	1163	287
802	1164	285
803	1165	284
804	1167	282
805	1168	281
806	1170	279
807	1171	278
808	1173	276
809	1174	275
810	1175	273
811	1177	272
812	1178	271
813	1179	269
814	1180	268
815	1182	266
816	1183	265
817	1185	263
818	1186	262
819	1187	260
820	1189	259
821	1190	257
822	1191	256
823	1193	254
824	1194	253
825	1195	251
826	1197	250
827	1198	248
828	1199	247
829	1201	246
830	1202	244
831	1204	243
832	1205	241
833	1206	240
834	1208	238
835	1209	237
836	1210	235
837	1212	234
